in s,C1 in V
-7.3648E-06,1.78223E-01
-7.3632E-06,7.56836E-02
-7.3616E-06,-7.32422E-03
-7.3600E-06,-1.04980E-01
-7.3584E-06,-1.92871E-01
-7.3568E-06,-2.66113E-01
-7.3552E-06,-3.39355E-01
-7.3536E-06,-3.68652E-01
-7.3520E-06,-3.88184E-01
-7.3504E-06,-3.78418E-01
-7.3488E-06,-3.88184E-01
-7.3472E-06,-3.44238E-01
-7.3456E-06,-3.05176E-01
-7.3440E-06,-2.41699E-01
-7.3424E-06,-1.53809E-01
-7.3408E-06,-6.10352E-02
-7.3392E-06,4.15039E-02
-7.3376E-06,1.24512E-01
-7.3360E-06,2.12402E-01
-7.3344E-06,2.90527E-01
-7.3328E-06,3.44238E-01
-7.3312E-06,3.88184E-01
-7.3296E-06,4.12598E-01
-7.3280E-06,4.32129E-01
-7.3264E-06,4.07715E-01
-7.3248E-06,3.83301E-01
-7.3232E-06,3.29590E-01
-7.3216E-06,2.66113E-01
-7.3200E-06,1.78223E-01
-7.3184E-06,8.05664E-02
-7.3168E-06,-2.44141E-03
-7.3152E-06,-9.03320E-02
-7.3136E-06,-1.83105E-01
-7.3120E-06,-2.46582E-01
-7.3104E-06,-3.29590E-01
-7.3088E-06,-3.78418E-01
-7.3072E-06,-3.78418E-01
-7.3056E-06,-4.07715E-01
-7.3040E-06,-3.78418E-01
-7.3024E-06,-3.58887E-01
-7.3008E-06,-3.19824E-01
-7.2992E-06,-2.46582E-01
-7.2976E-06,-1.53809E-01
-7.2960E-06,-7.08008E-02
-7.2944E-06,3.66211E-02
-7.2928E-06,1.24512E-01
-7.2912E-06,2.02637E-01
-7.2896E-06,2.70996E-01
-7.2880E-06,3.34473E-01
-7.2864E-06,3.83301E-01
-7.2848E-06,4.07715E-01
-7.2832E-06,4.32129E-01
-7.2816E-06,4.12598E-01
-7.2800E-06,3.93066E-01
-7.2784E-06,3.49121E-01
-7.2768E-06,2.85645E-01
-7.2752E-06,2.02637E-01
-7.2736E-06,1.04980E-01
-7.2720E-06,2.44141E-03
-7.2704E-06,-8.05664E-02
-7.2688E-06,-1.78223E-01
-7.2672E-06,-2.41699E-01
-7.2656E-06,-3.05176E-01
-7.2640E-06,-3.63770E-01
-7.2624E-06,-3.83301E-01
-7.2608E-06,-4.02832E-01
-7.2592E-06,-3.93066E-01
-7.2576E-06,-3.73535E-01
-7.2560E-06,-3.19824E-01
-7.2544E-06,-2.51465E-01
-7.2528E-06,-1.78223E-01
-7.2512E-06,-9.03320E-02
-7.2496E-06,7.32422E-03
-7.2480E-06,1.14746E-01
-7.2464E-06,1.97754E-01
-7.2448E-06,2.66113E-01
-7.2432E-06,3.29590E-01
-7.2416E-06,3.93066E-01
-7.2400E-06,4.27246E-01
-7.2384E-06,4.37012E-01
-7.2368E-06,4.32129E-01
-7.2352E-06,3.83301E-01
-7.2336E-06,3.39355E-01
-7.2320E-06,2.75879E-01
-7.2304E-06,2.02637E-01
-7.2288E-06,1.24512E-01
-7.2272E-06,2.68555E-02
-7.2256E-06,-5.12695E-02
-7.2240E-06,-1.63574E-01
-7.2224E-06,-2.46582E-01
-7.2208E-06,-3.00293E-01
-7.2192E-06,-3.58887E-01
-7.2176E-06,-3.83301E-01
-7.2160E-06,-3.97949E-01
-7.2144E-06,-3.93066E-01
-7.2128E-06,-3.63770E-01
-7.2112E-06,-3.24707E-01
-7.2096E-06,-2.61230E-01
-7.2080E-06,-1.87988E-01
-7.2064E-06,-1.04980E-01
-7.2048E-06,-2.44141E-03
-7.2032E-06,9.03320E-02
-7.2016E-06,1.87988E-01
-7.2000E-06,2.66113E-01
-7.1984E-06,3.24707E-01
-7.1968E-06,3.73535E-01
-7.1952E-06,4.02832E-01
-7.1936E-06,4.41895E-01
-7.1920E-06,4.27246E-01
-7.1904E-06,3.88184E-01
-7.1888E-06,3.54004E-01
-7.1872E-06,2.80762E-01
-7.1856E-06,2.12402E-01
-7.1840E-06,1.14746E-01
-7.1824E-06,2.68555E-02
-7.1808E-06,-4.63867E-02
-7.1792E-06,-1.58691E-01
-7.1776E-06,-2.31934E-01
-7.1760E-06,-2.85645E-01
-7.1744E-06,-3.54004E-01
