in s,C1 in V,C3 in V
-2.9184E-06,-2.30602E-02,-2.39758E+00
-2.9180E-06,-2.26695E-02,-2.43664E+00
-2.9176E-06,-2.13023E-02,-2.41711E+00
-2.9172E-06,-2.09117E-02,-2.43664E+00
-2.9168E-06,-1.91539E-02,-2.43664E+00
-2.9164E-06,-1.79820E-02,-2.51477E+00
-2.9160E-06,-1.64195E-02,-2.43664E+00
-2.9156E-06,-1.54430E-02,-2.39758E+00
-2.9152E-06,-1.29039E-02,-2.35852E+00
-2.9148E-06,-1.25133E-02,-2.37805E+00
-2.9144E-06,-1.09508E-02,-2.39758E+00
-2.9140E-06,-9.58359E-03,-2.41711E+00
-2.9136E-06,-8.41172E-03,-2.43664E+00
-2.9132E-06,-8.41172E-03,-2.43664E+00
-2.9128E-06,-7.43516E-03,-2.43664E+00
-2.9124E-06,-6.26328E-03,-2.43664E+00
-2.9120E-06,-5.48203E-03,-2.41711E+00
-2.9116E-06,-5.48203E-03,-2.41711E+00
-2.9112E-06,-4.31016E-03,-2.43664E+00
-2.9108E-06,-4.31016E-03,-2.49523E+00
-2.9104E-06,-3.33359E-03,-2.43664E+00
-2.9100E-06,-3.33359E-03,-2.45617E+00
-2.9096E-06,-1.96641E-03,-2.49523E+00
-2.9092E-06,-1.96641E-03,-2.43664E+00
-2.9088E-06,-1.77109E-03,-2.37805E+00
-2.9084E-06,-1.57578E-03,-2.39758E+00
-2.9080E-06,-1.77109E-03,-2.43664E+00
-2.9076E-06,-1.38047E-03,-2.41711E+00
-2.9072E-06,-1.18516E-03,-2.43664E+00
-2.9068E-06,-1.57578E-03,-2.45617E+00
-2.9064E-06,-1.18516E-03,-2.45617E+00
-2.9060E-06,-1.77109E-03,-2.45617E+00
-2.9056E-06,-2.35703E-03,-2.41711E+00
-2.9052E-06,-4.89609E-03,-2.41711E+00
-2.9048E-06,-7.82578E-03,-2.35852E+00
-2.9044E-06,-1.17320E-02,-2.45617E+00
-2.9040E-06,-1.62242E-02,-2.41711E+00
-2.9036E-06,-2.18883E-02,-2.47570E+00
-2.9032E-06,-2.71617E-02,-2.45617E+00
-2.9028E-06,-3.22398E-02,-2.49523E+00
