in s,C2 in V
-1.1864530E+00,1.25586E-03
-1.1864345E+00,2.72070E-03
-1.1864160E+00,2.23242E-03
-1.1863975E+00,7.67578E-04
-1.1863790E+00,1.25586E-03
-1.1863606E+00,1.25586E-03
-1.1863421E+00,2.72070E-03
-1.1863236E+00,2.23242E-03
-1.1863051E+00,2.23242E-03
-1.1862866E+00,1.25586E-03
-1.1862682E+00,7.67578E-04
-1.1862497E+00,1.74414E-03
-1.1862312E+00,2.72070E-03
-1.1862127E+00,1.25586E-03
-1.1861942E+00,2.72070E-03
-1.1861758E+00,1.74414E-03
-1.1861573E+00,2.23242E-03
-1.1861388E+00,1.74414E-03
-1.1861203E+00,1.25586E-03
-1.1861018E+00,7.67578E-04
-1.1860834E+00,1.25586E-03
-1.1860649E+00,1.25586E-03
-1.1860464E+00,2.23242E-03
-1.1860279E+00,2.23242E-03
-1.1860094E+00,2.79297E-04
-1.1859910E+00,1.25586E-03
-1.1859725E+00,7.67578E-04
-1.1859540E+00,1.74414E-03
-1.1859355E+00,1.25586E-03
-1.1859170E+00,1.25586E-03
-1.1858986E+00,7.67578E-04
-1.1858801E+00,2.72070E-03
-1.1858616E+00,1.74414E-03
-1.1858431E+00,1.74414E-03
-1.1858246E+00,4.18555E-03
-1.1858062E+00,1.25586E-03
-1.1857877E+00,2.72070E-03
-1.1857692E+00,2.72070E-03
-1.1857507E+00,1.74414E-03
-1.1857322E+00,2.23242E-03
-1.1857138E+00,1.74414E-03
-1.1856953E+00,2.72070E-03
-1.1856768E+00,1.25586E-03
-1.1856583E+00,2.23242E-03
