in s,C1 in V
-2.8536E-06,-1.73570E-03
-2.8532E-06,-1.61852E-03
-2.8528E-06,-1.65758E-03
-2.8524E-06,-1.50133E-03
-2.8520E-06,-1.40367E-03
-2.8516E-06,-1.20836E-03
-2.8512E-06,-1.16930E-03
-2.8508E-06,-9.93516E-04
-2.8504E-06,-8.76328E-04
-2.8500E-06,-7.98203E-04
-2.8496E-06,-7.20078E-04
-2.8492E-06,-6.81016E-04
-2.8488E-06,-6.61484E-04
-2.8484E-06,-6.61484E-04
-2.8480E-06,-6.22422E-04
-2.8476E-06,-4.85703E-04
-2.8472E-06,-4.85703E-04
-2.8468E-06,-4.07578E-04
-2.8464E-06,-3.88047E-04
-2.8460E-06,-2.51328E-04
-2.8456E-06,-2.12266E-04
-2.8452E-06,-2.70859E-04
-2.8448E-06,-2.70859E-04
-2.8444E-06,-2.51328E-04
-2.8440E-06,-1.53672E-04
-2.8436E-06,-1.34141E-04
-2.8432E-06,-1.34141E-04
-2.8428E-06,2.21094E-05
-2.8424E-06,1.00234E-04
-2.8420E-06,1.58828E-04
-2.8416E-06,2.17422E-04
-2.8412E-06,2.36953E-04
-2.8408E-06,1.58828E-04
-2.8404E-06,1.39297E-04
-2.8400E-06,-1.69531E-05
-2.8396E-06,-1.14609E-04
-2.8392E-06,-1.92734E-04
-2.8388E-06,-4.27109E-04
-2.8384E-06,-5.83359E-04
-2.8380E-06,-5.44297E-04
-2.8376E-06,-5.24766E-04
-2.8372E-06,-4.66172E-04
-2.8368E-06,-5.24766E-04
-2.8364E-06,-5.05234E-04
-2.8360E-06,-5.63828E-04
-2.8356E-06,-6.02891E-04
-2.8352E-06,-6.81016E-04
-2.8348E-06,-8.17734E-04
-2.8344E-06,-8.37266E-04
-2.8340E-06,-9.34922E-04
-2.8336E-06,-9.93516E-04
-2.8332E-06,-1.13023E-03
-2.8328E-06,-1.18883E-03
-2.8324E-06,-1.13023E-03
-2.8320E-06,-1.05211E-03
-2.8316E-06,-9.15391E-04
-2.8312E-06,-8.76328E-04
-2.8308E-06,-7.78672E-04
-2.8304E-06,-7.78672E-04
-2.8300E-06,-8.37266E-04
-2.8296E-06,-8.17734E-04
-2.8292E-06,-7.78672E-04
-2.8288E-06,-7.59141E-04
-2.8284E-06,-6.81016E-04
-2.8280E-06,-6.02891E-04
-2.8276E-06,-4.85703E-04
-2.8272E-06,-5.44297E-04
-2.8268E-06,-3.88047E-04
-2.8264E-06,-3.29453E-04
-2.8260E-06,-1.73203E-04
-2.8256E-06,-1.53672E-04
-2.8252E-06,-1.34141E-04
-2.8248E-06,-5.60156E-05
-2.8244E-06,2.57813E-06
